,EG.ELC.ACCS.ZS,AG.LND.AGRI.ZS,NV.AGR.TOTL.ZS,ER.H2O.FWTL.ZS,MS.MIL.TOTL.TF.ZS,FB.ATM.TOTL.P5,FB.CBK.BRWR.P3,DT.DOD.ALLC.ZS,per_allsp.cov_pop_tot,FB.CBK.DPTR.P3,SE.COM.DURS,EG.ELC.HYRO.ZS,EG.ELC.FOSL.ZS,EG.IMP.CONS.ZS,BN.KLT.DINV.CD,BM.KLT.DINV.WD.GD.ZS,AG.LND.FRST.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD,NY.GDP.PCAP.CD,NV.IND.TOTL.ZS,DT.INT.DECT.GN.ZS,IT.NET.USER.P2,NV.IND.MANF.ZS,CM.MKT.LCAP.GD.ZS,MS.MIL.XPND.GD.ZS,IT.CEL.SETS.P2,GC.FIN.FRGN.GD.ZS,DT.ODA.ODAT.GI.ZS,BN.GSR.MRCH.CD,EN.ATM.GHGO.ZG,BX.TRF.PWKR.DT.GD.ZS,EN.POP.DNST,DT.DOD.PVLX.GN.ZS,EG.ELC.RNEW.ZS,NV.SRV.TETC.ZS,DT.DOD.DSTC.IR.ZS,GC.REV.SOCL.ZS,CM.MKT.TRAD.GD.ZS,GC.TAX.EXPT.ZS,GC.TAX.GSRV.RV.ZS,NE.TRD.GNFS.ZS,BG.GSR.NFSV.GD.ZS,BM.GSR.TRVL.ZS,AG.LND.EL5M.UR.ZS,SE.ADT.1524.LT.ZS,country_code,GDPdelta,GDPpercentgrowth,country_name,region_East Asia & Pacific,region_Europe & Central Asia,region_Latin America & Caribbean,region_Middle East & North Africa,region_North America,region_South Asia,region_Sub-Saharan Africa,region,growthInd
0,0.0,11.1111111111,0.461254144394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168864059.59,0.555974666756,2.33333333333,2638206703.91,0.0,26037.2829669,20.2411322026,0.0,46.9666666667,4.3374781914,0.0,0.0,119.210766277,0.0,0.0,-327392923.65,-144.444444444,0.267434183133,562.918518519,0.0,0.0,79.297613653,0.0,0.0,0.0,0.0,0.0,141.204501322,87.0446463799,32.8246656153,0.0,0.0,ABW,0.0,0.0,Aruba,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Latin America & Caribbean,-1
1,0.0,41.8439716312,0.397095536034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,34.0425531915,3887332644.72,3744149490.5,45563.6588357,15.4957686685,0.0,73.1466666667,3.34636475536,0.0,0.0,80.1541929692,0.0,0.0,0.0,0.0,0.0,181.537588652,0.0,0.0,76.0859285995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ADO,-405851520.716,-10.0924663371,Andorra,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Europe & Central Asia,-1
2,0.0,58.067579573,28.7410655567,0.0,1.98400235619,0.332172576404,3.80307234996,86.3491333333,15.7331125649,64.4656972022,9.0,0.0,0.0,0.0,-121773233.74,0.450163280122,2.06782464847,10840438614.6,12854334131.0,407.829472683,25.7931732056,0.0586173018367,2.43,16.6031070732,0.0,2.20860783255,28.277184682,1.80891852731,262.177776349,-2610640076.89,-22.573,1.12801328873,40.6486209397,0.0,75.9438084199,45.4657612377,0.522044191802,0.212961646717,0.0,0.0168235126683,3.01312572872,68.7153662545,34.8755571053,46.6954842589,0.0,0.0,AFG,4654871864.98,39.7133125596,Afghanistan,0.0,0.0,0.0,0.0,0.0,1.0,0.0,South Asia,1
3,0.0,46.4345873105,0.0,0.476891891892,1.64569065166,7.62519550981,0.0,23.5299666667,0.0,53.2159625057,6.0,72.7903785915,27.2096214085,-763.277501139,165750505.307,1.52330860003,47.1080452394,73373112929.9,75349279970.6,3690.77771596,0.0,0.895296250457,1.96666666667,0.0,0.0,3.8355251017,35.9470817819,0.929362236793,2.60386083349,30611498250.5,6938.94455676,0.0488637211673,15.9210344643,0.0,72.7903785915,0.0,17.5406773373,2.24348391159,0.0,0.00238264152147,14.1246254826,118.445027098,24.77987217,1.17174457263,0.0,0.0,AGO,10367763843.1,15.1530204084,Angola,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sub-Saharan Africa,0
4,0.0,42.5948905109,19.5683710454,4.87360594796,1.15219215371,27.10933649,96.6055433271,42.2618333333,67.727394781,0.0,8.0,99.1224293279,0.877570672078,44.3396736163,-824385773.769,2.04791896536,28.4211678832,11875525829.5,10992035609.0,4029.22995894,27.5238750925,0.583565906474,26.6987051361,6.86914889694,0.0,1.77428375878,70.1491077792,0.0,7.96155332509,-3421523861.16,16.4911680233,12.0905686333,107.601581509,0.0,99.1224293279,52.9077538546,33.6614551155,0.0,0.0,0.0,0.0,84.0864525078,39.2934116338,67.4885788954,0.0,98.8312072754,ALB,904479642.327,8.74037447557,Albania,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Europe & Central Asia,0
6,0.0,5.88157894737,0.0,2665.33333333,1.14137550594,46.3472236092,0.0,0.0,0.0,0.0,6.0,0.0,100.0,-221.371820833,0.0,3.91230917822,3.77009569378,2.7564603597e+11,2.88765695888e+11,40512.9519272,0.0,0.0,62.6666666667,0.0,45.8286488217,4.13521719664,136.423704099,0.0,0.0,0.0,52.048857368,0.0,82.1996212121,0.0,0.0,0.0,0.0,0.0,22.31955174,0.0,0.0,146.257880417,0.0,0.0,0.0,0.0,ARE,40245801853.4,13.9824041884,United Arab Emirates,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Middle East & North Africa,0
7,0.0,52.6287839202,7.9050603258,0.0,0.579664250701,32.9775420859,277.933457019,0.0,0.0,637.758723518,13.0,27.0207982541,65.1483258595,-8.66514396441,-5536387507.05,0.372183978292,10.6815167228,3.28820391085e+11,3.97035006977e+11,8139.14200836,31.148166082,0.0,29.3530854735,19.3939222348,14.8029228431,0.810302836263,117.024053613,0.0,0.166839804324,15901659321.0,247.481864728,0.195861266362,14.7563180338,0.0,28.3622139403,60.9467735922,0.0,0.0,1.01604845952,0.0,0.0,38.2968044983,6.97636140499,36.0804200436,0.0,0.0,ARG,61383297689.9,15.5597932968,Argentina,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Latin America & Caribbean,0
8,0.0,61.4155251142,19.1980244688,41.6678816154,3.35331933196,22.3155469812,0.0,42.7844,60.82431286,0.0,11.0,32.7211545625,23.921611614,70.7029180289,-762857065.432,0.297596972403,11.6403231472,9838759720.75,9829491793.09,3305.51011305,41.0873325779,0.999991230956,9.17708446571,10.0371663421,1.42488485351,3.53173465727,61.6741845378,5.14313545483,11.318425987,-2207726227.72,311.68588042,16.9458738927,104.545767475,0.0,32.7731749099,39.7146429533,31.2016092783,13.1804543122,0.0215676380736,0.0,41.690769488,57.5060634555,19.0198108652,39.754547519,0.0,0.0,ARM,1332651483.59,13.4977442492,Armenia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Europe & Central Asia,0
9,0.0,24.1666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.1111111111,0.0,285.268333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASM,0.0,0.0,American Samoa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,East Asia & Pacific,-1
10,0.0,20.4545454545,1.8395129358,16.1538461538,0.0,67.4805591622,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,-192545053.457,0.21978976242,22.2727272727,1281004851.85,1334111785.95,15013.8345989,22.2759896946,0.0,38.0,2.1134140856,0.0,0.0,149.847030928,2.57373668322,1.47675373981,-540764376.667,641121.374046,1.64818355521,193.975,0.0,0.0,75.884499573,0.0,0.0,0.0,0.0,40.7337699702,113.202292146,62.0672850027,20.8286015801,0.0,0.0,ATG,-62891204.823,-4.52705897245,Antigua and Barbuda,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Latin America & Caribbean,-1
