Series Code,Topic,Indicator Name,
AG.AGR.TRAC.NO,Environment: Agricultural production,"Agricultural machinery, tractors",
AG.CON.FERT.PT.ZS,Environment: Agricultural production,Fertilizer consumption (% of fertilizer production),
AG.CON.FERT.ZS,Environment: Agricultural production,Fertilizer consumption (kilograms per hectare of arable land),
AG.LND.AGRI.K2,Environment: Land use,Agricultural land (sq. km),
AG.LND.AGRI.ZS,Environment: Land use,Agricultural land (% of land area),1
AG.LND.ARBL.HA,Environment: Land use,Arable land (hectares),
AG.LND.ARBL.HA.PC,Environment: Land use,Arable land (hectares per person),
AG.LND.ARBL.ZS,Environment: Land use,Arable land (% of land area),
AG.LND.CREL.HA,Environment: Agricultural production,Land under cereal production (hectares),
AG.LND.CROP.ZS,Environment: Land use,Permanent cropland (% of land area),
AG.LND.EL5M.RU.K2,Environment: Land use,Rural land area where elevation is below 5 meters (sq. km),
AG.LND.EL5M.RU.ZS,Environment: Land use,Rural land area where elevation is below 5 meters (% of total land area),
AG.LND.EL5M.UR.K2,Environment: Land use,Urban land area where elevation is below 5 meters (sq. km),
AG.LND.EL5M.UR.ZS,Environment: Land use,Urban land area where elevation is below 5 meters (% of total land area),1
AG.LND.EL5M.ZS,Environment: Land use,Land area where elevation is below 5 meters (% of total land area),
AG.LND.FRST.K2,Environment: Land use,Forest area (sq. km),
AG.LND.FRST.ZS,Environment: Land use,Forest area (% of land area),1
AG.LND.IRIG.AG.ZS,Environment: Land use,Agricultural irrigated land (% of total agricultural land),
AG.LND.PRCP.MM,Environment: Land use,Average precipitation in depth (mm per year),
AG.LND.TOTL.K2,Environment: Land use,Land area (sq. km),
AG.LND.TOTL.RU.K2,Environment: Land use,Rural land area (sq. km),
AG.LND.TOTL.UR.K2,Environment: Land use,Urban land area (sq. km),
AG.LND.TRAC.ZS,Environment: Agricultural production,"Agricultural machinery, tractors per 100 sq. km of arable land",
AG.PRD.CREL.MT,Environment: Agricultural production,Cereal production (metric tons),
AG.PRD.CROP.XD,Environment: Agricultural production,Crop production index (2004-2006 = 100),
AG.PRD.FOOD.XD,Environment: Agricultural production,Food production index (2004-2006 = 100),
AG.PRD.LVSK.XD,Environment: Agricultural production,Livestock production index (2004-2006 = 100),
AG.SRF.TOTL.K2,Environment: Land use,Surface area (sq. km),
AG.YLD.CREL.KG,Environment: Agricultural production,Cereal yield (kg per hectare),
BG.GSR.NFSV.GD.ZS,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Trade in services (% of GDP),1
BM.GSR.CMCP.ZS,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Communications, computer, etc. (% of service imports, BoP)",
BM.GSR.FCTY.CD,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Primary income payments (BoP, current US$)",
BM.GSR.GNFS.CD,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Imports of goods and services (BoP, current US$)",
BM.GSR.INSF.ZS,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Insurance and financial services (% of service imports, BoP)",
BM.GSR.MRCH.CD,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Goods imports (BoP, current US$)",
BM.GSR.NFSV.CD,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Service imports (BoP, current US$)",
BM.GSR.ROYL.CD,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Charges for the use of intellectual property, payments (BoP, current US$)",
BM.GSR.TOTL.CD,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Imports of goods, services and primary income (BoP, current US$)",
BM.GSR.TRAN.ZS,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Transport services (% of service imports, BoP)",
